image_path,age,gender,ethnicity
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/26_1_1_20170113134115794.jpg.chip.jpg,u40,female,black
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/26_0_0_20170113210127510.jpg.chip.jpg,u40,male,white
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/27_1_0_20170119194402442.jpg.chip.jpg,u40,female,white
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/28_0_1_20170116215621993.jpg.chip.jpg,u40,male,black
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/21_1_3_20170119155741576.jpg.chip.jpg,u40,female,indian
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/38_1_1_20170116164329443.jpg.chip.jpg,u40,female,black
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/27_1_2_20170116192252052.jpg.chip.jpg,u40,female,asian
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/20_1_0_20170103175525991.jpg.chip.jpg,u20,female,white
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/29_1_2_20170105161656203.jpg.chip.jpg,u40,female,asian
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/17_1_1_20170114030019967.jpg.chip.jpg,u20,female,black
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/22_1_2_20170116220943302.jpg.chip.jpg,u40,female,asian
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/29_1_3_20170119195529348.jpg.chip.jpg,u40,female,indian
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/24_1_1_20170117022255162.jpg.chip.jpg,u40,female,black
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/56_1_0_20170110131907975.jpg.chip.jpg,u60,female,white
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/5_1_1_20161219190410076.jpg.chip.jpg,u10,female,black
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/38_1_0_20170104202343507.jpg.chip.jpg,u40,female,white
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/25_0_0_20170116223149525.jpg.chip.jpg,u40,male,white
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/20_0_0_20170117135525494.jpg.chip.jpg,u20,male,white
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/5_0_3_20161220142906249.jpg.chip.jpg,u10,male,indian
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/26_1_3_20170119193137914.jpg.chip.jpg,u40,female,indian
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/40_0_1_20170120220605251.jpg.chip.jpg,u40,male,black
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/19_0_2_20170105183427303.jpg.chip.jpg,u20,male,asian
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/8_1_4_20170109201742209.jpg.chip.jpg,u10,female,others
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/58_0_1_20170117204657521.jpg.chip.jpg,u60,male,black
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/22_1_0_20170117141120129.jpg.chip.jpg,u40,female,white
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/1_1_3_20161220220219634.jpg.chip.jpg,u10,female,indian
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/31_1_1_20170117005813452.jpg.chip.jpg,u40,female,black
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/1_0_3_20161220221616882.jpg.chip.jpg,u10,male,indian
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/40_1_0_20170105172927477.jpg.chip.jpg,u40,female,white
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/49_1_0_20170111182452938.jpg.chip.jpg,u60,female,white
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/60_0_2_20170117160025977.jpg.chip.jpg,u60,male,asian
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/17_0_1_20170113145213577.jpg.chip.jpg,u20,male,black
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/26_1_0_20170117172636235.jpg.chip.jpg,u40,female,white
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/32_0_1_20170113134154346.jpg.chip.jpg,u40,male,black
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/27_0_0_20170117010719987.jpg.chip.jpg,u40,male,white
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/26_1_1_20170112210320819.jpg.chip.jpg,u40,female,black
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/45_0_0_20170117182743885.jpg.chip.jpg,u60,male,white
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/24_1_4_20170117194806829.jpg.chip.jpg,u40,female,others
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/50_0_0_20170117185805681.jpg.chip.jpg,u60,male,white
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/1_1_0_20161219161022878.jpg.chip.jpg,u10,female,white
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/45_0_3_20170119201952141.jpg.chip.jpg,u60,male,indian
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/2_1_2_20161219141220720.jpg.chip.jpg,u10,female,asian
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/36_1_4_20170105001239982.jpg.chip.jpg,u40,female,others
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/24_0_3_20170120133910528.jpg.chip.jpg,u40,male,indian
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/25_1_3_20170109132634146.jpg.chip.jpg,u40,female,indian
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/72_0_0_20170111222416133.jpg.chip.jpg,a60,male,white
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/26_0_1_20170116025854980.jpg.chip.jpg,u40,male,black
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/58_0_1_20170111170138036.jpg.chip.jpg,u60,male,black
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/24_0_1_20170116002302626.jpg.chip.jpg,u40,male,black
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/71_0_2_20170112224020396.jpg.chip.jpg,a60,male,asian
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/26_1_4_20170117201617637.jpg.chip.jpg,u40,female,others
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/32_1_0_20170117092300323.jpg.chip.jpg,u40,female,white
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/28_1_3_20170109140238810.jpg.chip.jpg,u40,female,indian
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/20_1_0_20170119153738075.jpg.chip.jpg,u20,female,white
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/8_1_0_20170109201536853.jpg.chip.jpg,u10,female,white
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/65_0_0_20170117204724913.jpg.chip.jpg,a60,male,white
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/26_0_1_20170116183512340.jpg.chip.jpg,u40,male,black
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/3_1_0_20161219154514612.jpg.chip.jpg,u10,female,white
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/47_0_0_20170117190258354.jpg.chip.jpg,u60,male,white
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/29_1_2_20170116223039250.jpg.chip.jpg,u40,female,asian
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/32_1_3_20170109140230761.jpg.chip.jpg,u40,female,indian
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/21_1_1_20170114032203540.jpg.chip.jpg,u40,female,black
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/27_0_1_20170113150450280.jpg.chip.jpg,u40,male,black
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/15_1_4_20170103230530985.jpg.chip.jpg,u20,female,others
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/28_0_0_20170117180622480.jpg.chip.jpg,u40,male,white
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/28_1_0_20170117193022560.jpg.chip.jpg,u40,female,white
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/26_0_1_20170113135514506.jpg.chip.jpg,u40,male,black
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/21_1_2_20170116163803744.jpg.chip.jpg,u40,female,asian
/home/server1/Documents/alina/PyTorch-Multi-Label-Image-Classification/data/UTKFace/images/56_1_0_20170110120821728.jpg.chip.jpg,u60,female,white
